goos: linux
goarch: amd64
pkg: github.com/kamichidu/go-regexp-re/internal/benchmark
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	 2876784	       445.1 ns/op	2729873.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	 2631320	       422.8 ns/op	2873778.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	 3446052	       437.2 ns/op	2778846.20 MB/s	       0 B/op	       0 allocs/op
2026/05/01 22:43:18 Downloading http_logs.txt from https://raw.githubusercontent.com/elastic/examples/master/Common%20Data%20Formats/apache_logs/apache_logs...
BenchmarkAnchors/pat=^127.0.0.1-2                                     	44605849	        29.71 ns/op	79791832.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	39268867	        27.75 ns/op	85437440.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	39930412	        30.37 ns/op	78058322.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	51598340	        21.55 ns/op	110017050.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	56456631	        21.34 ns/op	111083844.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	55165737	        21.31 ns/op	111267720.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	    1778	    671365 ns/op	3531.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	    1722	    672287 ns/op	3526.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	    1724	    676492 ns/op	3504.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	    1765	    676047 ns/op	3506.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	    1786	    676065 ns/op	3506.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	    1791	    677817 ns/op	3497.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	23963794	        50.20 ns/op	47225770.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	21364204	        50.02 ns/op	47398581.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	24057044	        50.19 ns/op	47239778.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	23986158	        50.46 ns/op	46985341.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	24032136	        50.37 ns/op	47065809.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	24111531	        50.34 ns/op	47094868.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/Email-2                                            	 1406662	       873.0 ns/op	1201125.42 MB/s	      53 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	 1384738	       851.0 ns/op	1232310.84 MB/s	      54 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	 1386345	       852.3 ns/op	1230390.00 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	 1409833	       860.5 ns/op	1218631.60 MB/s	      59 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	 1395894	       854.1 ns/op	1227820.77 MB/s	      54 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	 1373934	       858.2 ns/op	1221845.23 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/URI-2                                              	14624034	        82.87 ns/op	12654634.83 MB/s	       1 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	14808378	        82.08 ns/op	12776192.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	14425989	        81.59 ns/op	12852470.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	13906495	        82.02 ns/op	12784904.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	14575857	        82.54 ns/op	12705118.01 MB/s	       1 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	14578974	        85.79 ns/op	12223197.42 MB/s	       1 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	    1653	    716267 ns/op	1463.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	    1677	    716822 ns/op	1462.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	    1689	    716261 ns/op	1463.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	    1682	    710846 ns/op	1475.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	    1683	    716627 ns/op	1463.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	    1680	    716616 ns/op	1463.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	    4328	    291675 ns/op	3594.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	    4350	    277154 ns/op	3783.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	    4323	    279547 ns/op	3750.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	    4348	    277192 ns/op	3782.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	    4356	    277539 ns/op	3778.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	    4362	    277619 ns/op	3776.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	     364	   3289576 ns/op	 318.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	     364	   3297132 ns/op	 318.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	     366	   3285012 ns/op	 319.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	     364	   3289257 ns/op	 318.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	     356	   3307685 ns/op	 317.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	     367	   3297224 ns/op	 318.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   32516	     35819 ns/op	30359.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   34525	     36194 ns/op	30044.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   34418	     36172 ns/op	30062.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   32438	     34804 ns/op	31244.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   34237	     35246 ns/op	30852.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   33190	     34854 ns/op	31199.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      18	  63907147 ns/op	  16.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      18	  63669631 ns/op	  16.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      18	  63896387 ns/op	  16.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      18	  63826858 ns/op	  16.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      18	  63549079 ns/op	  16.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      18	  63807584 ns/op	  16.43 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/kamichidu/go-regexp-re/internal/benchmark	220.453s
