goos: linux
goarch: amd64
pkg: github.com/kamichidu/go-regexp-re/internal/benchmark
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkAnchors/pat=^127.0.0.1-2                                     	27600717	        43.34 ns/op	54707696.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	27484810	        43.31 ns/op	54736580.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	27600930	        44.57 ns/op	53194882.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	27923641	        43.18 ns/op	54901717.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	27916033	        43.37 ns/op	54662722.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	     373	   3186419 ns/op	 744.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	     380	   3167765 ns/op	 748.41 MB/s	      16 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	     379	   3149770 ns/op	 752.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	     381	   3231996 ns/op	 733.54 MB/s	      16 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	     378	   3145215 ns/op	 753.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=HTTP/1.1$-2                                      	     380	   3145411 ns/op	 753.73 MB/s	      16 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	  812571	      1472 ns/op	1610538.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	  805207	      1479 ns/op	1602496.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	  825824	      1473 ns/op	1610000.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	  816061	      1471 ns/op	1611861.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	  821331	      1471 ns/op	1612055.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=\bGET\b-2                                        	  816075	      1466 ns/op	1616692.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/Email-2                                            	  469950	      2572 ns/op	407661.66 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	  475318	      2563 ns/op	409078.04 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	  463796	      2566 ns/op	408633.12 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	  460857	      2561 ns/op	409464.83 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	  462105	      2560 ns/op	409558.00 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/Email-2                                            	  463458	      2562 ns/op	409314.41 MB/s	      48 B/op	       1 allocs/op
BenchmarkCapturing/URI-2                                              	 2157276	       585.7 ns/op	1790489.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	 2146068	       557.3 ns/op	1881686.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	 2150306	       555.8 ns/op	1886752.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	 2140014	       556.0 ns/op	1885970.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	 2146947	       556.8 ns/op	1883340.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkCapturing/URI-2                                              	 2152233	       557.9 ns/op	1879581.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	      48	  24455054 ns/op	  42.88 MB/s	       5 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	      49	  24450784 ns/op	  42.88 MB/s	       5 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	      48	  24600387 ns/op	  42.62 MB/s	       5 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	      48	  24565294 ns/op	  42.68 MB/s	     132 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	      48	  24542475 ns/op	  42.72 MB/s	       5 B/op	       0 allocs/op
BenchmarkSynthetic/SearchWarp-2                                       	      49	  24598584 ns/op	  42.63 MB/s	     129 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	      76	  15565567 ns/op	  67.36 MB/s	       3 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	      76	  15587531 ns/op	  67.27 MB/s	       3 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	      75	  15631434 ns/op	  67.08 MB/s	       3 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	      76	  15668853 ns/op	  66.92 MB/s	       3 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	      76	  15656528 ns/op	  66.97 MB/s	       3 B/op	       0 allocs/op
BenchmarkSynthetic/CCWarp-2                                           	      76	  15578246 ns/op	  67.31 MB/s	       3 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	      39	  29701947 ns/op	  35.30 MB/s	       9 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	      39	  29741841 ns/op	  35.26 MB/s	       6 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	      39	  29914854 ns/op	  35.05 MB/s	       9 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	      39	  29732825 ns/op	  35.27 MB/s	       9 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	      39	  29590287 ns/op	  35.44 MB/s	       9 B/op	       0 allocs/op
BenchmarkSynthetic/PureDFA-2                                          	      39	  29580395 ns/op	  35.45 MB/s	       6 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   33063	     36280 ns/op	29973.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   33103	     37321 ns/op	29137.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   33916	     35377 ns/op	30737.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   32175	     35600 ns/op	30545.78 MB/s	       0 B/op	       0 allocs/op
